17.500	62.450
17.600	64.600
17.700	63.000
17.800	66.050
17.900	73.150
18.000	75.050
18.100	79.400
18.200	98.900
18.300	120.950
18.400	107.750
18.500	72.500
18.600	63.400
18.700	62.650
18.800	58.600
18.900	58.200
19.000	60.050
19.100	60.600
19.200	57.900
19.300	58.050
19.400	57.250
19.500	56.750
19.600	56.200
19.700	59.950
19.800	56.000
19.900	53.750
20.000	57.300
20.100	57.050
20.200	58.000
20.300	63.700
20.400	75.750
20.500	137.750
20.600	217.600
20.700	236.300
20.800	156.550
20.900	81.350
21.000	51.700
21.100	51.800
21.200	48.250
21.300	47.200
21.400	47.850
21.500	49.100
