X,CH1,
Second,Volt,
3.6000027e-03,-2.00000e-01,
3.8000024e-03,-2.40000e-01,
4.0000021e-03,-2.40000e-01,
4.2000017e-03,-8.00000e-02,
4.4000032e-03,-8.00000e-02,
4.6000029e-03,1.60000e-01,
4.8000026e-03,2.00000e-01,
5.0000022e-03,2.80000e-01,
5.2000019e-03,2.80000e-01,
5.4000034e-03,8.00000e-02,
5.6000031e-03,8.00000e-02,
5.8000027e-03,-1.60000e-01,
6.0000024e-03,-1.60000e-01,
6.2000020e-03,-3.20000e-01,
6.4000017e-03,-3.20000e-01,
6.6000032e-03,-2.00000e-01,
6.8000029e-03,-1.60000e-01,
7.0000025e-03,1.20000e-01,
7.2000022e-03,2.00000e-01,
7.4000019e-03,3.20000e-01,
7.6000015e-03,3.60000e-01,
7.8000030e-03,2.40000e-01,
8.0000022e-03,2.80000e-01,
8.2000019e-03,-8.00000e-02,
8.4000016e-03,-8.00000e-02,
8.6000012e-03,-3.60000e-01,
8.8000009e-03,-3.60000e-01,
9.0000024e-03,-4.00000e-01,
9.2000021e-03,-3.20000e-01,
9.4000017e-03,-8.00000e-02,
9.6000014e-03,0.00000e+00,
9.8000010e-03,2.80000e-01,
1.0000001e-02,3.60000e-01,
1.0200002e-02,4.80000e-01,
1.0400002e-02,4.40000e-01,
1.0600002e-02,1.60000e-01,
1.0800001e-02,1.20000e-01,
1.1000001e-02,-2.40000e-01,
1.1200001e-02,-3.60000e-01,
1.1400002e-02,-5.20000e-01,
1.1600002e-02,-5.20000e-01,
1.1800001e-02,-3.20000e-01,
1.2000001e-02,-2.80000e-01,
1.2200001e-02,2.00000e-01,
1.2400002e-02,2.40000e-01,
1.2600002e-02,5.60000e-01,
1.2800002e-02,6.00000e-01,
1.3000001e-02,4.40000e-01,
1.3200001e-02,4.00000e-01,
1.3400001e-02,-1.60000e-01,
1.3600002e-02,-2.40000e-01,
1.3800002e-02,-6.00000e-01,
1.4000001e-02,-6.80000e-01,
1.4200001e-02,-5.60000e-01,
1.4400001e-02,-5.60000e-01,
1.4600000e-02,4.00000e-02,
1.4800001e-02,1.20000e-01,
1.5000002e-02,6.40000e-01,
1.5200001e-02,6.80000e-01,
1.5400001e-02,7.60000e-01,
1.5600001e-02,6.40000e-01,
1.5800001e-02,8.00000e-02,
1.6000001e-02,-8.00000e-02,
1.6200002e-02,-6.80000e-01,
1.6400002e-02,-7.60000e-01,
1.6600002e-02,-8.80000e-01,
1.6800001e-02,-8.00000e-01,
1.7000001e-02,-2.40000e-01,
1.7200001e-02,-1.20000e-01,
1.7400002e-02,7.20000e-01,
1.7600002e-02,7.60000e-01,
1.7800001e-02,9.60000e-01,
1.8000001e-02,9.20000e-01,
1.8200001e-02,2.40000e-01,
1.8400000e-02,1.60000e-01,
1.8600002e-02,-7.20000e-01,
1.8800002e-02,-8.00000e-01,
1.9000001e-02,-1.12000e+00,
1.9200001e-02,-1.04000e+00,
1.9400001e-02,-3.20000e-01,
1.9600000e-02,-2.00000e-01,
1.9800002e-02,8.40000e-01,
2.0000001e-02,9.20000e-01,
2.0200001e-02,1.20000e+00,
2.0400001e-02,1.16000e+00,
2.0600000e-02,4.00000e-01,
2.0800000e-02,2.80000e-01,
2.1000002e-02,-8.80000e-01,
